[2026-05-26 09:29:52] /say                      | iamjustapersone                  | A Cute Server (1508244368580939938)
[2026-05-26 09:31:24] /coinflip                 | iamjustapersone                  | A Cute Server (1508244368580939938)
[2026-05-26 09:38:20] /8ball                    | iamjustapersone                  | A Cute Server (1508244368580939938)
[2026-06-12 13:55:01] /ban                      | uwuimanx                         | Pluto (1514616573694967928)
[2026-06-12 14:02:57] /ban                      | uwuimanx                         | Pluto (1514616573694967928)
[2026-06-12 14:03:15] /warn                     | uwuimanx                         | Pluto (1514616573694967928)
[2026-06-12 16:46:17] /userlook                 | uwuimanx                         | Pluto (1514616573694967928)
[2026-06-12 16:55:18] /userlook                 | uwuimanx                         | Pluto (1514616573694967928)
[2026-06-12 17:29:09] /userlook                 | uwuimanx                         | Pluto (1514616573694967928)
[2026-06-12 17:29:21] /userlook                 | uwuimanx                         | Pluto (1514616573694967928)
[2026-06-12 17:29:32] /purge                    | uwuimanx                         | Pluto (1514616573694967928)
[2026-06-12 17:29:47] /userlook                 | uwuimanx                         | Pluto (1514616573694967928)
[2026-06-12 22:22:11] /giveaway start           | uwuimanx                         | Pluto (1514616573694967928)
[2026-06-12 22:22:40] /giveaway list            | uwuimanx                         | Pluto (1514616573694967928)
[2026-06-12 22:24:22] /giveaway start           | uwuimanx                         | Pluto (1514616573694967928)
[2026-06-12 22:24:49] /giveaway end             | uwuimanx                         | Pluto (1514616573694967928)
[2026-06-12 22:25:53] /setmessagelog            | uwuimanx                         | Pluto (1514616573694967928)
[2026-06-12 22:26:04] /purge                    | uwuimanx                         | Pluto (1514616573694967928)
[2026-06-12 22:26:28] /warn                     | uwuimanx                         | Pluto (1514616573694967928)
[2026-06-12 22:26:48] /modhistory               | uwuimanx                         | Pluto (1514616573694967928)
[2026-06-12 22:34:00] /purge                    | uwuimanx                         | Pluto (1514616573694967928)
[2026-06-13 07:38:35] /8ball                    | uwuimanx                         | Pluto (1514616573694967928)
[2026-06-13 07:42:53] /warn                     | uwuimanx                         | Pluto (1514616573694967928)
